ValveBiped.hips,bip_pelvis
ValveBiped.spine1,bip_spine_0
ValveBiped.spine2,bip_spine_1
ValveBiped.spine3,bip_spine_2
ValveBiped.spine4,bip_spine_3
ValveBiped.neck1,bip_neck
ValveBiped.head,bip_head
ValveBiped.clavical_L,bip_collar_L
ValveBiped.arm1_L,bip_upperArm_L
ValveBiped.arm2_L,bip_lowerArm_L
ValveBiped.hand1_L,bip_hand_L
ValveBiped.index1_L,bip_index_0_L
ValveBiped.index2_L,bip_index_1_L
ValveBiped.index3_L,bip_index_2_L
ValveBiped.pinky1_L,bip_pinky_0_L
ValveBiped.pinky2_L,bip_pinky_1_L
ValveBiped.pinky3_L,bip_pinky_2_L
ValveBiped.clavical_R,bip_collar_R
ValveBiped.arm1_R,bip_upperArm_R
ValveBiped.arm2_R,bip_RowerArm_R
ValveBiped.hand1_R,bip_hand_R
ValveBiped.index1_R,bip_index_0_R
ValveBiped.index2_R,bip_index_1_R
ValveBiped.index3_R,bip_index_2_R
ValveBiped.pinky1_R,bip_pinky_0_R
ValveBiped.pinky2_R,bip_pinky_1_R
ValveBiped.pinky3_R,bip_pinky_2_R
ValveBiped.leg_bone1_L,bip_hip_L
ValveBiped.leg_bone2_L,bip_knee_L
ValveBiped.Bip01_L_Foot,bip_foot_L
ValveBiped.Bip01_L_Toe0,bip_toe_L
ValveBiped.leg_bone1_R,bip_hip_R
ValveBiped.leg_bone2_R,bip_knee_R
ValveBiped.Bip01_R_Foot,bip_foot_R
ValveBiped.Bip01_R_Toe0,bip_toe_R
