ValveBiped.Bip01_Pelvis,ValveBiped.hips
ValveBiped.Bip01_Spine,ValveBiped.spine1
ValveBiped.Bip01_Spine1,ValveBiped.spine2
ValveBiped.Bip01_Spine2,ValveBiped.spine3
ValveBiped.Bip01_Spine4,ValveBiped.spine4
ValveBiped.Bip01_Neck1,ValveBiped.neck1
ValveBiped.Bip01_Head1,ValveBiped.head
ValveBiped.Bip01_L_Clavicle,ValveBiped.clavical_L
ValveBiped.Bip01_L_UpperArm,ValveBiped.arm1_L
ValveBiped.Bip01_L_Forearm,ValveBiped.arm2_L
ValveBiped.Bip01_L_Hand,ValveBiped.hand1_L
ValveBiped.Bip01_L_Finger1,ValveBiped.index1_L
ValveBiped.Bip01_L_Finger11,ValveBiped.index2_L
ValveBiped.Bip01_L_Finger12,ValveBiped.index3_L
ValveBiped.Bip01_L_Finger4,ValveBiped.pinky1_L
ValveBiped.Bip01_L_Finger41,ValveBiped.pinky2_L
ValveBiped.Bip01_L_Finger42,ValveBiped.pinky3_L
ValveBiped.Bip01_R_Clavicle,ValveBiped.clavical_R
ValveBiped.Bip01_R_UpperArm,ValveBiped.arm1_R
ValveBiped.Bip01_R_Forearm,ValveBiped.arm2_R
ValveBiped.Bip01_R_Hand,ValveBiped.hand1_R
ValveBiped.Bip01_R_Finger1,ValveBiped.index1_R
ValveBiped.Bip01_R_Finger11,ValveBiped.index2_R
ValveBiped.Bip01_R_Finger12,ValveBiped.index3_R
ValveBiped.Bip01_R_Finger4,ValveBiped.pinky1_R
ValveBiped.Bip01_R_Finger41,ValveBiped.pinky2_R
ValveBiped.Bip01_R_Finger42,ValveBiped.pinky3_R
ValveBiped.Bip01_L_Thigh,ValveBiped.leg_bone1_L
ValveBiped.Bip01_L_Calf,ValveBiped.leg_bone2_L
ValveBiped.Bip01_L_Foot,ValveBiped.Bip01_L_Foot
ValveBiped.Bip01_L_Toe0,ValveBiped.Bip01_L_Toe0
ValveBiped.Bip01_R_Thigh,ValveBiped.leg_bone1_R
ValveBiped.Bip01_R_Calf,ValveBiped.leg_bone2_R
ValveBiped.Bip01_R_Foot,ValveBiped.Bip01_R_Foot
ValveBiped.Bip01_R_Toe0,ValveBiped.Bip01_R_Toe0
